Portfolio,Group,Div,District,Store,Reason,Brand,Product,Product Desc,Vendor Date/Code,UPC (free form UPC),Item,Case ID,Rcv Date,Text
BAKE SHOP,IN ST BKY CAKES,SS,DIST 335,564,QL FOR OBJ,FOODHOLD,,,BB 05/21/19,243570003990,CAKE CHOCOLATE CREAM,2033436,05/29/2019 13:36:56,customer bought this cake last week and had it in the freezer and served it on Sunday and there was a big piece of clear glass baked in it.
BAKE SHOP,IN ST BKY CAKES,SS,DIST 317,725,QL ORDER POOR,STORE MADE,,,,,CAKE,2032348,05/28/2019 14:03:39,Customer says there was icing on her whipped cream cake and it was nasty.
BAKE SHOP,IN ST BKY CAKES,GF,DIST 92,2311,QL ORDER POOR,STORE MADE,,,,,CAKES,2034462,05/30/2019 12:54:57,"CUSTOMER COMMENTS:  Our preschool orders cakes from this store #2311 every year for our preschool graduations. We have always been pleased but this year our cakes were very poorly decorated and it was quite disappointing. We ordered them online expecting to receive the design pictured but the cakes were very plain and the writing was messy. We did not have time to have this corrected so we had to display and serve the messy looking cakes at our graduation ceremonies. We can provide photos upon request. 
"
BAKE SHOP,IN ST BKY MUFF,GM,DIST 135,6317,PKG DISLIKE,LTO,,,,,CUPCAKES,2033175,05/29/2019 11:15:09,"CUSTOMER COMMENTS:  The Bakery was VERY sparse by 3:00 on Saturday on a Holiday weekend? The CHEAP FLIMSY containers used to keep the cupcakes in had all the icing and cupcakes mashed and ugly looking because everyone that tried to pick them up had them tip over because they were not sturdy. There was NOTHING Limoncello as advertised. Sad I could not pick up any desserts in this store. I went to Wegman's instead, which was WELL prepared, stocked, AND uses BETTER transportable containers for their desserts! Get with it GIANT! 
"
GROC BABY,DIAPERS,GM,DIST GM 0,0000 GM,QL DEFECTIVE,FOODHOLD,,,,4152013365,DIAPERS,2031302,05/27/2019 1:16:52,"CUSTOMER COMMENTS:  I picked up a pack of diapers size 4 there missing the sticky tabs on the left size that was literally the last of my money until the 5th I have no clue what to do I'm scrambling to borrow money for diapers from family I had my whole budget set for the month and this really screwed me sorry for the rant 
"
GROC BABY,DIAPERS,GM,DIST GM 0,0000 GM,QL OA DISSATISFIED,ALWAYS MY BABY,068826715534-GC,Sb Amb S5 Diapers 112Ct,S-1717 0518,68826715534,DIAPERS SZ 5,2034888,05/30/2019 16:31:37,"Bought our diapers and after using 3-4 of them, her daughter completely leaked out.  Totally dissatisfied.  Needs refund of $21.49"
GROC DAIRY,BAKED GDS REFRIG,SS,DIST 315,55,PKG ERROR,FOODHOLD,068826706499-SSNE,Sb Btrmlk Bisc 7.5Oz,,68826706499,BISCUTS-BUTTERMILK REFRIGERATED DOUGH,2031235,05/26/2019 12:56:47,"CUSTOMER COMMENTS:  i bought the above product and on the package it says 10 biscuits inside it only contained 9 so there is a problem with your production 
"
GROC DAIRY,CHEESE,SS,DIST 334,2565,DISC PRIV ITEM,FOODHOLD,,,,,CHEESE CRACKER CUT SWISS,2034385,05/30/2019 12:09:34,"cracker cuts cheese,  i have always been able to get these  in swiss and i have not found it i want to know if you have stopped making it.
"
GROC DAIRY,CHEESE,GM,DIST 133,6255,QL TASTE,NATURES PROMISE,,,,248144003994,CHEESE ARTISAN,2032743,05/29/2019 7:07:29,"CUSTOMER COMMENTS:  Hi, I usually buy this type of bread because my family love it. But the last time the bread came tasting like soap exactly on top where the cheese is. Just be careful guys, please. 
"
GROC DAIRY,COTTAGE CHEESE,SS,DIST SS 0,0000 SS,QL TASTE,FOODHOLD,068826702048-SSNE,Sb Ns Lf Cot Chs 16Z,6/8,68826702048,COTTAGE CHEESE,2033675,05/29/2019 16:19:49,"store brand cottage cheese, tasted very bitter and the texture is watery
upc 8826702048
sell by date 6/8
"
GROC DAIRY,CREAM,GM,DIST GM 0,0000 GM,QL SPOILED,FOODHOLD,,,June 10 20119,,HALF & HALF,2035173,05/31/2019 8:14:15,I bought your half & half with an exp date of June 10th - I went to use the creamer and it was bad - I thought you might want to know
GROC DAIRY,CREAM CHEESE,SS,DIST 323,787,OOS REG,FOODHOLD,,,,,CHEES-CREAME SOUR CREAM & CHIVE,2036211,05/31/2019 18:11:29,"CUSTOMER COMMENTS:  Just finished your survey which did not ask if there were any issues not addressed in it.  In the past 2 months, things have gone downhill in the Northampton and Hadley stores, which items that used to be available no longer there--no more S&S yogurt, no more S&S chive&onion cream cheese, salad bar closing at 7 or even 6:30 instead of 8 and some items no longer available.  As a result, I'm giving more of your business to other stores. 
"
GROC DAIRY,DAIRY OTHER,GF,DIST GF 0,0000 GF,QL FEW MISS INGR,NATURES PROMISE,,,,68826718426,"LUNCHKIT, PEPPERONI STACKER",2032134,05/28/2019 12:20:37,"I purchase these Nature's Promise Pepperoni Stacker Lunchkits often and have never had an issue. But the other day I got one out to eat and it was missing a few pepperonis. I thought I should say something, someone said sometimes they send coupons if you call and let them know. I don't have the exact package that I had yesterday but I have another in the fridge that has the bar code. 8826718426. Usually they have the same amount of cheese, crackers, and pepperoni but this one yesterday didn't have enough pepperoni."
GROC DAIRY,MILK REFRIG,SS,DIST SS 0,0000 SS,DISC PRIV ITEM,NATURES PROMISE,,,,,MILK ALMOND,2035755,05/31/2019 13:27:56,wonder if np almond milk was discontinued
GROC DAIRY,MILK REFRIG,SS,DIST SS 0,0000 SS,NTR INGR C,FOODHOLD,068826714072-SSNE,Sb Lctse Free Mlk1%64Ol,sell by 7/23  19 1143 J36-3417,68826714072,MILK,2033750,05/29/2019 17:03:20,Customer states they have our lactose free milk and just noticed on the container it says 12 grams of sugar.  Customer states they cant drink this.
GROC DAIRY,MILK REFRIG,SS,DIST SS 0,0000 SS,OOS REG,NATURES PROMISE,068826703700-SS,Np Van Rice Milk 32Z,,68826703700,MILK RICE,2034232,05/30/2019 10:40:05,The only milk his son can have
GROC DAIRY,MILK REFRIG,SS,DIST 336,562,OOS REG,FOODHOLD,,,,,MILK WHOLE QUART,2034424,05/30/2019 12:06:24,"Customer stated there seems to be an ongoing issue with the store brand milk that is out of stock.  He purchases the whole milk quart size and they seem to be out quite frequently.  For example, yesterday at 3:00 he went in and there was no quart size whole milk, even the Tuscan whole milk, and he does not like to get that brand as it is so much more expensive, but he was unable to purchase that either.  He also stated that the bottle room placement, since the renovations, is not very good idea. It is very difficult to see if there are people and he is handicapped and he wanted let us know that this is not a safe for customer's as it is very dark and down an alley.  He also wanted to know the status of getting another Motorized cart. He stated that there are only two and they are always in use and he has to wait, sometimes upwards of an hour for a cart."
GROC DAIRY,MILK REFRIG,SS,DIST 335,560,QL FOR OBJ,NATURES PROMISE,068826706493-SSNYM,Np Org Skm Gal,,68826706493,MILK,2036525,06/01/2019 11:02:35,6 88267 06493 7 there's something at the bottom of the container on the inside - it looks like left over milk - it's beige in color and looks gooey - are these containers recycled because it looks like leftover milk at the bottom
GROC DAIRY,MILK REFRIG,SS,DIST 316,49,QL SPOILED,FOODHOLD,,,,,MILK,2036275,05/31/2019 19:58:50,"CUSTOMER COMMENTS:  Why is the milk not fresh anymore? We're getting used throwing away the last 25% of the jug because it goes bad before it's used. Tonight I just open a new store brand half gallon of milk dated 06-08-19 and it already smells funky. Purchased this Monday. We use a lot of milk and our fridge is new and cold. We can't buy gallons anymore because by time it's half used it's bad. Been drinking milk my whole life. What's going on? 
"
GROC DAIRY,MILK REFRIG,SS,DIST 328,513,QL SPOILED,NATURES PROMISE,,,,,MILK  ORGANIC WHOLE,2031644,05/27/2019 21:13:26,"CUSTOMER COMMENTS:  We purchased a half gallon of Nature's Promise Organic Whole milk on Saturday, May 25th and it was bad.  This isn't the first time this has happened and we just can't keep wasting money on products that are bad well before their expiration date.  (Or in this case, the moment that we get home.). DeCicco's just opened up down the street, and I would rather pay more money for food that isn't already in the process of going bad while I am in the check out line.  We've been shopping at Stop & Shop for years, however, and are disappointed that we will have to stop now.  :( 
"
GROC DAIRY,MILK REFRIG,GM,DIST GM 0,0000 GM,QL TASTE,NATURES PROMISE,068826703610-GC,Np Org Nf Milk Uht 64Z,6/20/19,68826703610,MILK,2034895,05/30/2019 16:36:20,"natures promise organic fat free milk
customer said it had a chemical taste
upc 688267036101
sell by date 6/20/19
16:08 EH 2
364016"
GROC DAIRY,YOGURT,SS,DIST 323,787,OOS REG,FOODHOLD,,,,,YOGURT,2036211,05/31/2019 18:11:29,"CUSTOMER COMMENTS:  Just finished your survey which did not ask if there were any issues not addressed in it.  In the past 2 months, things have gone downhill in the Northampton and Hadley stores, which items that used to be available no longer there--no more S&S yogurt, no more S&S chive&onion cream cheese, salad bar closing at 7 or even 6:30 instead of 8 and some items no longer available.  As a result, I'm giving more of your business to other stores. 
"
GROC FF,FROZ BREAK,SS,DIST 327,522,DISC A NATL ITEM,FOODHOLD,,,,,PANCAKES BUTTERMILK TOASTER,2034920,05/30/2019 16:52:28,"S&S Frozen Toaster buttermilk pancakes seems to have disco'd.  What happened to them.  There are no other toaster pancakes, so he really misses them."
